Timestamp,ID,Class,Encoded,Decoded,DecVal,BellLimit,Correlation,Kappa,Rho,AI_Pred,QDF_Probability,Verdict
2026-05-11 12:30:15.646,"QAI-003-003","[Genuine Node &otimes; Genuine Node] &oplus; Eve (|&Psi;&minus;&rang;)","|0>|0>|0>|1>","0 00 1","0   Seq: 1",0.2471,0.1236,1.54,0.005,0.0879,0.2637,"Verified Safe Pair"
2026-05-11 12:30:15.646,"QAI-499-499","[Custom Source &otimes; Custom Source] &oplus; Eve (|&Psi;&minus;&rang;)","|{1,0}>|0>|1>|0>","{1,0} 01 0","1   Seq: {10, 2}",0.3535,0.1767,1.54,0.005,0.5463,0.9023,"Indeterminate"
2026-05-11 12:30:15.646,"QAI-895-648","[Custom Source &otimes; Custom Source] &oplus; Eve (|&Psi;&plus;&rang;)","|{1,0}>|1>|1>|0>","{1,0} 11 0","3   Seq: {14, 6}",1.3718,0.6859,1.54,0.005,0.4688,0.999,"Indeterminate"
2026-05-11 12:30:15.646,"QAI-003-895","[Genuine Node &otimes; Custom Source] &oplus; Eve (|&Psi;&plus;&rang;)","|{1,0}>|0>|0>|1>","{1,0} 00 1","0   Seq: {9, 1}",0.7829,0.3915,1.54,0.005,0.3389,0.4978,"Indeterminate"
2026-05-11 12:30:15.646,"QAI-648-499","[Custom Source &otimes; Custom Source] &oplus; Eve (|&Psi;&plus;&rang;)","|{1,0}>|0>|0>|0>","{1,0} 00 0","0   Seq: {8, 0}",0.8577,0.4289,1.54,0.005,0.2678,0.6191,"Indeterminate"
2026-05-11 12:30:15.646,"QAI-648-499","[Custom Source &otimes; Custom Source] &oplus; Eve (|&Psi;&plus;&rang;)","|{1,0}>|0>|1>|0>","{1,0} 01 0","1   Seq: {10, 2}",1.0870,0.5435,1.54,0.005,0.4444,0.8591,"Indeterminate"
2026-05-11 12:30:15.646,"QAI-001-003","[Bot Node &otimes; Genuine Node] &oplus; Eve (|&Psi;&plus;&rang;)","|{1,0}>|1>|0>|1>","{1,0} 10 1","{0, 2}   Seq: {13, 5}",0.8105,0.4052,1.54,0.005,0.539,0.999,"Indeterminate"
2026-05-11 12:30:15.646,"QAI-895-001","[Custom Source &otimes; Bot Node] &oplus; Eve (|&Phi;&plus;&rang;)","|1>|1>|1>|0>","1 11 0","3   Seq: 14",1.6842,0.8421,1.54,0.005,0.7645,0.999,"QAI Strong Pair"
2026-05-11 12:30:15.646,"QAI-499-001","[Custom Source &otimes; Bot Node] &oplus; Eve (|&Psi;&plus;&rang;)","|{1,0}>|1>|1>|0>","{1,0} 11 0","3   Seq: {14, 6}",1.3935,0.6967,1.54,0.005,0.8233,0.999,"Indeterminate"
2026-05-11 12:30:15.646,"QAI-648-001","[Custom Source &otimes; Bot Node] &oplus; Eve (|&Psi;&plus;&rang;)","|{1,0}>|1>|1>|1>","{1,0} 11 1","3   Seq: {15, 7}",1.1973,0.5986,1.54,0.005,0.7906,0.999,"Indeterminate"
2026-05-11 12:30:15.646,"QAI-648-003","[Custom Source &otimes; Genuine Node] &oplus; Eve (|&Psi;&minus;&rang;)","|{1,0}>|0>|0>|1>","{1,0} 00 1","0   Seq: {9, 1}",0.3570,0.1785,1.54,0.005,0.1002,0.3676,"Indeterminate"
2026-05-11 12:30:15.646,"QAI-648-001","[Custom Source &otimes; Bot Node] &oplus; Eve (|&Psi;&plus;&rang;)","|{1,0}>|1>|1>|0>","{1,0} 11 0","3   Seq: {14, 6}",1.2534,0.6267,1.54,0.005,0.8249,0.999,"Indeterminate"
2026-05-11 12:30:15.646,"QAI-003-002","[Genuine Node &otimes; Sybil Node] &oplus; Eve (|&Psi;&plus;&rang;)","|{1,0}>|0>|0>|1>","{1,0} 00 1","0   Seq: {9, 1}",0.9666,0.4833,1.54,0.005,0.3962,0.9218,"Indeterminate"
2026-05-11 12:30:15.646,"QAI-499-648","[Custom Source &otimes; Custom Source] &oplus; Eve (|&Psi;&minus;&rang;)","|{1,0}>|0>|0>|1>","{1,0} 00 1","0   Seq: {9, 1}",0.4009,0.2005,1.54,0.005,0.3713,0.7076,"Indeterminate"
2026-05-11 12:30:15.646,"QAI-002-001","[Sybil Node &otimes; Bot Node] &oplus; Eve (|&Phi;&plus;&rang;)","|1>|0>|1>|1>","1 01 1","1   Seq: 11",1.7733,0.8866,1.54,0.005,0.6029,0.999,"QAI Strong Pair"
2026-05-11 12:30:15.646,"QAI-001-499","[Bot Node &otimes; Custom Source] &oplus; Eve (|&Psi;&plus;&rang;)","|{1,0}>|1>|0>|0>","{1,0} 10 0","{0, 2}   Seq: {12, 4}",1.3121,0.6561,1.54,0.005,0.648,0.999,"Indeterminate"
2026-05-11 12:30:15.646,"QAI-895-002","[Custom Source &otimes; Sybil Node] &oplus; Eve (|&Psi;&plus;&rang;)","|{1,0}>|0>|1>|1>","{1,0} 01 1","1   Seq: {11, 3}",1.3969,0.6985,1.54,0.005,0.5723,0.999,"Indeterminate"
2026-05-11 12:30:15.646,"QAI-499-499","[Custom Source &otimes; Custom Source] &oplus; Eve (|&Psi;&plus;&rang;)","|{1,0}>|0>|0>|1>","{1,0} 00 1","0   Seq: {9, 1}",0.9241,0.4621,1.54,0.005,0.2218,0.5374,"Indeterminate"
2026-05-11 12:30:15.646,"QAI-003-002","[Genuine Node &otimes; Sybil Node] &oplus; Eve (|&Psi;&plus;&rang;)","|{1,0}>|0>|1>|1>","{1,0} 01 1","1   Seq: {11, 3}",0.8524,0.4262,1.54,0.005,0.3404,0.8044,"Indeterminate"
2026-05-11 12:30:15.646,"QAI-895-895","[Custom Source &otimes; Custom Source] &oplus; Eve (|&Psi;&minus;&rang;)","|{1,0}>|1>|0>|0>","{1,0} 10 0","{0, 2}   Seq: {12, 4}",0.5824,0.2912,1.54,0.005,0.6403,0.999,"Indeterminate"
2026-05-11 12:30:15.646,"QAI-648-499","[Custom Source &otimes; Custom Source] &oplus; Eve (|&Psi;&plus;&rang;)","|{1,0}>|0>|0>|0>","{1,0} 00 0","0   Seq: {8, 0}",1.0770,0.5385,1.54,0.005,0.2776,0.7272,"Indeterminate"
2026-05-11 12:30:15.646,"QAI-648-648","[Custom Source &otimes; Custom Source] &oplus; Eve (|&Psi;&plus;&rang;)","|{1,0}>|1>|0>|1>","{1,0} 10 1","{0, 2}   Seq: {13, 5}",1.2134,0.6067,1.54,0.005,0.5103,0.999,"Indeterminate"
2026-05-11 12:30:15.646,"QAI-003-499","[Genuine Node &otimes; Custom Source] &oplus; Eve (|&Psi;&plus;&rang;)","|{1,0}>|0>|0>|0>","{1,0} 00 0","0   Seq: {8, 0}",0.6869,0.3434,1.54,0.005,0.3499,0.7929,"Indeterminate"
2026-05-11 12:30:15.646,"QAI-648-001","[Custom Source &otimes; Bot Node] &oplus; Eve (|&Phi;&plus;&rang;)","|{1,0}>|1>|1>|0>","{1,0} 11 0","3   Seq: {14, 6}",1.5543,0.7771,1.54,0.005,0.7874,0.999,"Indeterminate"
2026-05-11 12:30:15.647,"QAI-499-499","[Custom Source &otimes; Custom Source] &oplus; Eve (|&Psi;&plus;&rang;)","|{1,0}>|1>|0>|0>","{1,0} 10 0","{0, 2}   Seq: {12, 4}",0.8116,0.4058,1.54,0.005,0.5804,0.999,"Indeterminate"
2026-05-11 12:30:15.647,"QAI-648-001","[Custom Source &otimes; Bot Node] &oplus; Eve (|&Psi;&plus;&rang;)","|{1,0}>|0>|1>|0>","{1,0} 01 0","1   Seq: {10, 2}",1.4358,0.7179,1.54,0.005,0.5735,0.999,"Indeterminate"
2026-05-11 12:30:15.647,"QAI-003-001","[Genuine Node &otimes; Bot Node] &oplus; Eve (|&Psi;&plus;&rang;)","|{1,0}>|0>|1>|1>","{1,0} 01 1","1   Seq: {11, 3}",0.7833,0.3916,1.54,0.005,0.4753,0.9551,"Indeterminate"
2026-05-11 12:30:15.647,"QAI-002-648","[Sybil Node &otimes; Custom Source] &oplus; Eve (|&Psi;&plus;&rang;)","|{1,0}>|0>|0>|0>","{1,0} 00 0","0   Seq: {8, 0}",1.0724,0.5362,1.54,0.005,0.1767,0.5536,"Indeterminate"
2026-05-11 12:30:15.647,"QAI-895-001","[Custom Source &otimes; Bot Node] &oplus; Eve (|&Psi;&plus;&rang;)","|{1,0}>|1>|1>|1>","{1,0} 11 1","3   Seq: {15, 7}",1.2270,0.6135,1.54,0.005,0.7789,0.999,"Indeterminate"
2026-05-11 12:30:15.647,"QAI-002-002","[Sybil Node &otimes; Sybil Node] &oplus; Eve (|&Psi;&plus;&rang;)","|{1,0}>|0>|1>|1>","{1,0} 01 1","1   Seq: {11, 3}",1.2529,0.6265,1.54,0.005,0.366,0.8278,"Indeterminate"
2026-05-11 12:30:15.647,"QAI-499-499","[Custom Source &otimes; Custom Source] &oplus; Eve (|&Psi;&plus;&rang;)","|{1,0}>|0>|0>|1>","{1,0} 00 1","0   Seq: {9, 1}",0.6647,0.3324,1.54,0.005,0.2935,0.7554,"Indeterminate"
2026-05-11 12:30:15.647,"QAI-648-499","[Custom Source &otimes; Custom Source] &oplus; Eve (|&Psi;&minus;&rang;)","|{1,0}>|1>|0>|0>","{1,0} 10 0","{0, 2}   Seq: {12, 4}",0.5497,0.2748,1.54,0.005,0.4724,0.999,"Indeterminate"
2026-05-11 12:30:15.647,"QAI-002-648","[Sybil Node &otimes; Custom Source] &oplus; Eve (|&Psi;&plus;&rang;)","|{1,0}>|1>|0>|0>","{1,0} 10 0","{0, 2}   Seq: {12, 4}",1.4835,0.7417,1.54,0.005,0.5897,0.999,"Indeterminate"
2026-05-11 12:30:15.647,"QAI-499-002","[Custom Source &otimes; Sybil Node] &oplus; Eve (|&Psi;&plus;&rang;)","|{1,0}>|1>|1>|0>","{1,0} 11 0","3   Seq: {14, 6}",0.7230,0.3615,1.54,0.005,0.6625,0.999,"Indeterminate"
2026-05-11 12:30:15.647,"QAI-648-003","[Custom Source &otimes; Genuine Node] &oplus; Eve (|&Psi;&plus;&rang;)","|{1,0}>|0>|0>|0>","{1,0} 00 0","0   Seq: {8, 0}",1.0450,0.5225,1.54,0.005,0.2493,0.6366,"Indeterminate"
2026-05-11 12:30:15.647,"QAI-895-003","[Custom Source &otimes; Genuine Node] &oplus; Eve (|&Psi;&plus;&rang;)","|{1,0}>|1>|0>|0>","{1,0} 10 0","{0, 2}   Seq: {12, 4}",1.0406,0.5203,1.54,0.005,0.2755,0.6332,"Indeterminate"
2026-05-11 12:30:15.647,"QAI-648-499","[Custom Source &otimes; Custom Source] &oplus; Eve (|&Psi;&plus;&rang;)","|{1,0}>|0>|1>|1>","{1,0} 01 1","1   Seq: {11, 3}",0.9605,0.4802,1.54,0.005,0.359,0.7682,"Indeterminate"
2026-05-11 12:30:15.647,"QAI-895-895","[Custom Source &otimes; Custom Source] &oplus; Eve (|&Psi;&plus;&rang;)","|{1,0}>|0>|1>|0>","{1,0} 01 0","1   Seq: {10, 2}",0.9347,0.4674,1.54,0.005,0.3617,0.6541,"Indeterminate"
2026-05-11 12:30:15.647,"QAI-002-648","[Sybil Node &otimes; Custom Source] &oplus; Eve (|&Psi;&plus;&rang;)","|{1,0}>|1>|1>|1>","{1,0} 11 1","3   Seq: {15, 7}",1.2258,0.6129,1.54,0.005,0.7294,0.999,"Indeterminate"
2026-05-11 12:30:15.647,"QAI-001-001","[Bot Node &otimes; Bot Node] &oplus; Eve (|&Phi;&plus;&rang;)","|1>|0>|1>|1>","1 01 1","1   Seq: 11",1.8449,0.9225,1.54,0.005,0.6908,0.999,"QAI Strong Pair"
2026-05-11 12:30:15.647,"QAI-001-648","[Bot Node &otimes; Custom Source] &oplus; Eve (|&Psi;&plus;&rang;)","|{1,0}>|1>|0>|0>","{1,0} 10 0","{0, 2}   Seq: {12, 4}",1.2181,0.609,1.54,0.005,0.7134,0.999,"Indeterminate"
2026-05-11 12:30:15.647,"QAI-895-001","[Custom Source &otimes; Bot Node] &oplus; Eve (|&Psi;&plus;&rang;)","|{1,0}>|1>|1>|1>","{1,0} 11 1","3   Seq: {15, 7}",0.8636,0.4318,1.54,0.005,0.6309,0.999,"Indeterminate"
2026-05-11 12:30:15.647,"QAI-003-002","[Genuine Node &otimes; Sybil Node] &oplus; Eve (|&Psi;&minus;&rang;)","|{1,0}>|0>|0>|1>","{1,0} 00 1","0   Seq: {9, 1}",0.5067,0.2533,1.54,0.005,0.3071,0.4912,"Indeterminate"
2026-05-11 12:30:15.647,"QAI-001-002","[Bot Node &otimes; Sybil Node] &oplus; Eve (|&Psi;&plus;&rang;)","|{1,0}>|1>|1>|1>","{1,0} 11 1","3   Seq: {15, 7}",1.3441,0.6721,1.54,0.005,0.6951,0.999,"Indeterminate"
2026-05-11 12:30:15.647,"QAI-001-002","[Bot Node &otimes; Sybil Node] &oplus; Eve (|&Phi;&plus;&rang;)","|{1,0}>|1>|0>|1>","{1,0} 10 1","{0, 2}   Seq: {13, 5}",1.5597,0.7798,1.54,0.005,0.4913,0.999,"Indeterminate"
2026-05-11 12:30:15.647,"QAI-895-499","[Custom Source &otimes; Custom Source] &oplus; Eve (|&Psi;&plus;&rang;)","|{1,0}>|0>|1>|0>","{1,0} 01 0","1   Seq: {10, 2}",1.0888,0.5444,1.54,0.005,0.4321,0.8107,"Indeterminate"
2026-05-11 12:30:15.647,"QAI-003-002","[Genuine Node &otimes; Sybil Node] &oplus; Eve (|&Psi;&plus;&rang;)","|{1,0}>|0>|0>|1>","{1,0} 00 1","0   Seq: {9, 1}",1.0355,0.5178,1.54,0.005,0.3141,0.6176,"Indeterminate"
2026-05-11 12:30:15.647,"QAI-002-895","[Sybil Node &otimes; Custom Source] &oplus; Eve (|&Psi;&plus;&rang;)","|{1,0}>|1>|1>|0>","{1,0} 11 0","3   Seq: {14, 6}",0.9545,0.4773,1.54,0.005,0.6542,0.999,"Indeterminate"
2026-05-11 12:30:15.647,"QAI-002-001","[Sybil Node &otimes; Bot Node] &oplus; Eve (|&Psi;&plus;&rang;)","|{1,0}>|0>|1>|1>","{1,0} 01 1","1   Seq: {11, 3}",1.2689,0.6345,1.54,0.005,0.5637,0.999,"Indeterminate"
2026-05-11 12:30:15.647,"QAI-648-895","[Custom Source &otimes; Custom Source] &oplus; Eve (|&Psi;&plus;&rang;)","|{1,0}>|1>|1>|1>","{1,0} 11 1","3   Seq: {15, 7}",0.9829,0.4915,1.54,0.005,0.7197,0.999,"Indeterminate"
2026-05-11 12:30:15.647,"QAI-002-499","[Sybil Node &otimes; Custom Source] &oplus; Eve (|&Psi;&plus;&rang;)","|{1,0}>|1>|1>|0>","{1,0} 11 0","3   Seq: {14, 6}",1.1537,0.5768,1.54,0.005,0.6132,0.999,"Indeterminate"
2026-05-11 12:30:15.647,"QAI-001-002","[Bot Node &otimes; Sybil Node] &oplus; Eve (|&Psi;&plus;&rang;)","|{1,0}>|1>|1>|1>","{1,0} 11 1","3   Seq: {15, 7}",1.3648,0.6824,1.54,0.005,0.5437,0.999,"Indeterminate"
2026-05-11 12:30:15.647,"QAI-648-895","[Custom Source &otimes; Custom Source] &oplus; Eve (|&Psi;&plus;&rang;)","|{1,0}>|0>|1>|0>","{1,0} 01 0","1   Seq: {10, 2}",1.0285,0.5143,1.54,0.005,0.5372,0.9209,"Indeterminate"
2026-05-11 12:30:15.647,"QAI-499-003","[Custom Source &otimes; Genuine Node] &oplus; Eve (|&Psi;&minus;&rang;)","|{1,0}>|0>|0>|1>","{1,0} 00 1","0   Seq: {9, 1}",0.5573,0.2787,1.54,0.005,0.3513,0.5796,"Indeterminate"
2026-05-11 12:30:15.647,"QAI-002-002","[Sybil Node &otimes; Sybil Node] &oplus; Eve (|&Psi;&plus;&rang;)","|{1,0}>|1>|0>|1>","{1,0} 10 1","{0, 2}   Seq: {13, 5}",1.0046,0.5023,1.54,0.005,0.6899,0.999,"Indeterminate"
2026-05-11 12:30:15.647,"QAI-499-001","[Custom Source &otimes; Bot Node] &oplus; Eve (|&Psi;&plus;&rang;)","|{1,0}>|1>|1>|0>","{1,0} 11 0","3   Seq: {14, 6}",1.4414,0.7207,1.54,0.005,0.7497,0.999,"Indeterminate"
2026-05-11 12:30:15.647,"QAI-001-648","[Bot Node &otimes; Custom Source] &oplus; Eve (|&Psi;&plus;&rang;)","|{1,0}>|1>|0>|0>","{1,0} 10 0","{0, 2}   Seq: {12, 4}",0.9295,0.4648,1.54,0.005,0.5087,0.999,"Indeterminate"
2026-05-11 12:30:15.647,"QAI-499-648","[Custom Source &otimes; Custom Source] &oplus; Eve (|&Psi;&plus;&rang;)","|{1,0}>|1>|1>|1>","{1,0} 11 1","3   Seq: {15, 7}",0.8367,0.4184,1.54,0.005,0.671,0.999,"Indeterminate"
2026-05-11 12:30:15.647,"QAI-001-002","[Bot Node &otimes; Sybil Node] &oplus; Eve (|&Psi;&plus;&rang;)","|{1,0}>|1>|0>|0>","{1,0} 10 0","{0, 2}   Seq: {12, 4}",1.2677,0.6338,1.54,0.005,0.5935,0.999,"Indeterminate"
2026-05-11 12:30:15.647,"QAI-003-895","[Genuine Node &otimes; Custom Source] &oplus; Eve (|&Psi;&plus;&rang;)","|{1,0}>|0>|0>|0>","{1,0} 00 0","0   Seq: {8, 0}",0.6437,0.3218,1.54,0.005,0.2084,0.5112,"Indeterminate"
2026-05-11 12:30:15.647,"QAI-499-499","[Custom Source &otimes; Custom Source] &oplus; Eve (|&Psi;&plus;&rang;)","|{1,0}>|0>|0>|1>","{1,0} 00 1","0   Seq: {9, 1}",0.6784,0.3392,1.54,0.005,0.4181,0.7826,"Indeterminate"
2026-05-11 12:30:15.647,"QAI-002-499","[Sybil Node &otimes; Custom Source] &oplus; Eve (|&Psi;&plus;&rang;)","|{1,0}>|1>|1>|1>","{1,0} 11 1","3   Seq: {15, 7}",0.6869,0.3435,1.54,0.005,0.4874,0.999,"Indeterminate"
2026-05-11 12:30:15.647,"QAI-499-648","[Custom Source &otimes; Custom Source] &oplus; Eve (|&Psi;&plus;&rang;)","|{1,0}>|1>|0>|1>","{1,0} 10 1","{0, 2}   Seq: {13, 5}",0.7643,0.3821,1.54,0.005,0.6617,0.999,"Indeterminate"
2026-05-11 12:30:15.647,"QAI-499-003","[Custom Source &otimes; Genuine Node] &oplus; Eve (|&Psi;&minus;&rang;)","|0>|0>|0>|1>","0 00 1","0   Seq: 1",0.1135,0.0567,1.54,0.005,0,0.1332,"Verified Safe Pair"
2026-05-11 12:30:15.647,"QAI-003-648","[Genuine Node &otimes; Custom Source] &oplus; Eve (|&Psi;&plus;&rang;)","|{1,0}>|0>|1>|1>","{1,0} 01 1","1   Seq: {11, 3}",0.6332,0.3166,1.54,0.005,0.561,0.999,"Indeterminate"
2026-05-11 12:30:15.647,"QAI-499-648","[Custom Source &otimes; Custom Source] &oplus; Eve (|&Psi;&plus;&rang;)","|{1,0}>|1>|0>|0>","{1,0} 10 0","{0, 2}   Seq: {12, 4}",0.8291,0.4146,1.54,0.005,0.5051,0.999,"Indeterminate"
2026-05-11 12:30:15.647,"QAI-499-001","[Custom Source &otimes; Bot Node] &oplus; Eve (|&Psi;&plus;&rang;)","|{1,0}>|0>|1>|1>","{1,0} 01 1","1   Seq: {11, 3}",1.1919,0.5959,1.54,0.005,0.4889,0.999,"Indeterminate"
2026-05-11 12:30:15.647,"QAI-001-002","[Bot Node &otimes; Sybil Node] &oplus; Eve (|&Phi;&plus;&rang;)","|1>|1>|1>|0>","1 11 0","3   Seq: 14",1.6607,0.8303,1.54,0.005,0.6729,0.999,"QAI Strong Pair"
2026-05-11 12:30:15.647,"QAI-003-895","[Genuine Node &otimes; Custom Source] &oplus; Eve (|&Psi;&plus;&rang;)","|{1,0}>|0>|0>|1>","{1,0} 00 1","0   Seq: {9, 1}",0.7543,0.3771,1.54,0.005,0.2553,0.5059,"Indeterminate"
2026-05-11 12:30:15.647,"QAI-895-499","[Custom Source &otimes; Custom Source] &oplus; Eve (|&Psi;&plus;&rang;)","|{1,0}>|1>|0>|1>","{1,0} 10 1","{0, 2}   Seq: {13, 5}",0.6211,0.3106,1.54,0.005,0.607,0.999,"Indeterminate"
2026-05-11 12:30:15.647,"QAI-002-002","[Sybil Node &otimes; Sybil Node] &oplus; Eve (|&Psi;&plus;&rang;)","|{1,0}>|1>|0>|0>","{1,0} 10 0","{0, 2}   Seq: {12, 4}",1.3686,0.6843,1.54,0.005,0.5521,0.999,"Indeterminate"
2026-05-11 12:30:15.647,"QAI-001-001","[Bot Node &otimes; Bot Node] &oplus; Eve (|&Phi;&plus;&rang;)","|1>|1>|1>|0>","1 11 0","3   Seq: 14",1.7145,0.8573,1.54,0.005,0.5626,0.999,"QAI Strong Pair"
2026-05-11 12:30:15.647,"QAI-001-499","[Bot Node &otimes; Custom Source] &oplus; Eve (|&Psi;&plus;&rang;)","|{1,0}>|0>|1>|1>","{1,0} 01 1","1   Seq: {11, 3}",1.2953,0.6477,1.54,0.005,0.5171,0.999,"Indeterminate"
2026-05-11 12:30:15.647,"QAI-648-895","[Custom Source &otimes; Custom Source] &oplus; Eve (|&Psi;&plus;&rang;)","|{1,0}>|1>|1>|1>","{1,0} 11 1","3   Seq: {15, 7}",1.0405,0.5202,1.54,0.005,0.717,0.999,"Indeterminate"
2026-05-11 12:30:15.647,"QAI-003-001","[Genuine Node &otimes; Bot Node] &oplus; Eve (|&Psi;&plus;&rang;)","|{1,0}>|0>|1>|1>","{1,0} 01 1","1   Seq: {11, 3}",1.0349,0.5174,1.54,0.005,0.4597,0.8492,"Indeterminate"
2026-05-11 12:30:15.647,"QAI-001-648","[Bot Node &otimes; Custom Source] &oplus; Eve (|&Psi;&plus;&rang;)","|{1,0}>|1>|1>|1>","{1,0} 11 1","3   Seq: {15, 7}",1.4260,0.713,1.54,0.005,0.7201,0.999,"Indeterminate"
2026-05-11 12:30:15.647,"QAI-001-648","[Bot Node &otimes; Custom Source] &oplus; Eve (|&Psi;&plus;&rang;)","|{1,0}>|1>|1>|0>","{1,0} 11 0","3   Seq: {14, 6}",1.3573,0.6786,1.54,0.005,0.6245,0.999,"Indeterminate"
2026-05-11 12:30:15.647,"QAI-002-002","[Sybil Node &otimes; Sybil Node] &oplus; Eve (|&Psi;&plus;&rang;)","|{1,0}>|0>|1>|0>","{1,0} 01 0","1   Seq: {10, 2}",0.9698,0.4849,1.54,0.005,0.2896,0.779,"Indeterminate"
2026-05-11 12:30:15.647,"QAI-648-499","[Custom Source &otimes; Custom Source] &oplus; Eve (|&Psi;&plus;&rang;)","|{1,0}>|0>|1>|1>","{1,0} 01 1","1   Seq: {11, 3}",1.0886,0.5443,1.54,0.005,0.2876,0.754,"Indeterminate"
2026-05-11 12:30:15.647,"QAI-499-002","[Custom Source &otimes; Sybil Node] &oplus; Eve (|&Psi;&plus;&rang;)","|{1,0}>|1>|1>|1>","{1,0} 11 1","3   Seq: {15, 7}",0.9814,0.4907,1.54,0.005,0.7456,0.999,"Indeterminate"
2026-05-11 12:30:15.647,"QAI-002-002","[Sybil Node &otimes; Sybil Node] &oplus; Eve (|&Psi;&plus;&rang;)","|{1,0}>|1>|1>|1>","{1,0} 11 1","3   Seq: {15, 7}",1.3877,0.6939,1.54,0.005,0.7564,0.999,"Indeterminate"
2026-05-11 12:30:15.647,"QAI-499-499","[Custom Source &otimes; Custom Source] &oplus; Eve (|&Psi;&plus;&rang;)","|{1,0}>|1>|1>|0>","{1,0} 11 0","3   Seq: {14, 6}",1.0436,0.5218,1.54,0.005,0.6593,0.999,"Indeterminate"
2026-05-11 12:30:15.647,"QAI-002-003","[Sybil Node &otimes; Genuine Node] &oplus; Eve (|&Psi;&plus;&rang;)","|{1,0}>|1>|0>|1>","{1,0} 10 1","{0, 2}   Seq: {13, 5}",0.7325,0.3663,1.54,0.005,0.4278,0.7101,"Indeterminate"
2026-05-11 12:30:15.647,"QAI-001-895","[Bot Node &otimes; Custom Source] &oplus; Eve (|&Psi;&plus;&rang;)","|{1,0}>|1>|1>|1>","{1,0} 11 1","3   Seq: {15, 7}",1.2380,0.619,1.54,0.005,0.699,0.999,"Indeterminate"
2026-05-11 12:30:15.647,"QAI-002-003","[Sybil Node &otimes; Genuine Node] &oplus; Eve (|&Psi;&plus;&rang;)","|{1,0}>|1>|0>|1>","{1,0} 10 1","{0, 2}   Seq: {13, 5}",0.6399,0.3199,1.54,0.005,0.4032,0.9083,"Indeterminate"
2026-05-11 12:30:15.647,"QAI-499-648","[Custom Source &otimes; Custom Source] &oplus; Eve (|&Psi;&plus;&rang;)","|{1,0}>|0>|1>|1>","{1,0} 01 1","1   Seq: {11, 3}",0.7391,0.3695,1.54,0.005,0.505,0.8732,"Indeterminate"
