Row,Micro_N,Orig_Correlation,Orig_Kappa,Orig_Rho,Stability,Entropy,QDF_Prob,Work_Output,Orig_Verdict,IDS_Verdict,Rec_Kappa,Rec_Rho,Rec_LensDist,Rec_Entropy,Rec_Work,Rec_Verdict
14,19608,0.392,1.540,0.0050,0.012,0.5022,0.4978,0.000,"Indeterminate",INDETERMINATE,1.706,0.6667,62.5,0.2289,25797.317,Stable (Optimal Reroute)
15,19608,0.429,1.540,0.0050,0.012,0.3809,0.6191,0.000,"Indeterminate",INDETERMINATE,1.705,0.6667,64.3,0.2895,23745.347,Stable (Optimal Reroute)
16,19608,0.543,1.540,0.0050,0.012,0.1409,0.8591,25941.659,"Indeterminate",STABLE,1.540,0.0050,42.0,0.1409,25941.659,Original (Safe)
17,19608,0.405,1.540,0.0050,0.012,0.0010,0.9990,30166.124,"Indeterminate",STABLE,1.540,0.0050,42.0,0.0010,30166.124,Original (Safe)
18,19608,0.842,1.540,0.0050,0.012,0.0010,0.9990,30166.124,"QAI Strong Pair",STABLE,1.540,0.0050,42.0,0.0010,30166.124,Original (Safe)
19,19608,0.697,1.540,0.0050,0.012,0.0010,0.9990,30166.124,"Indeterminate",STABLE,1.540,0.0050,42.0,0.0010,30166.124,Original (Safe)
20,19608,0.599,1.540,0.0050,0.012,0.0010,0.9990,30166.124,"Indeterminate",STABLE,1.540,0.0050,42.0,0.0010,30166.124,Original (Safe)
21,19608,0.178,1.540,0.0050,0.012,0.6324,0.3676,0.000,"Indeterminate",INDETERMINATE,1.716,0.6667,60.4,0.1638,28128.341,Stable (Optimal Reroute)
22,19608,0.627,1.540,0.0050,0.012,0.0010,0.9990,30166.124,"Indeterminate",STABLE,1.540,0.0050,42.0,0.0010,30166.124,Original (Safe)
23,19608,0.483,1.540,0.0050,0.012,0.0782,0.9218,27834.968,"Indeterminate",STABLE,1.540,0.0050,42.0,0.0782,27834.968,Original (Safe)
24,19608,0.201,1.540,0.0050,0.012,0.2924,0.7076,21366.916,"Indeterminate",STABLE,1.540,0.0050,42.0,0.2924,21366.916,Original (Safe)
25,19608,0.887,1.540,0.0050,0.012,0.0010,0.9990,30166.124,"QAI Strong Pair",STABLE,1.540,0.0050,42.0,0.0010,30166.124,Original (Safe)
26,19608,0.656,1.540,0.0050,0.012,0.0010,0.9990,30166.124,"Indeterminate",STABLE,1.540,0.0050,42.0,0.0010,30166.124,Original (Safe)
27,19608,0.699,1.540,0.0050,0.012,0.0010,0.9990,30166.124,"Indeterminate",STABLE,1.540,0.0050,42.0,0.0010,30166.124,Original (Safe)
28,19608,0.462,1.540,0.0050,0.012,0.4626,0.5374,0.000,"Indeterminate",INDETERMINATE,1.703,0.6667,63.1,0.2487,25089.147,Stable (Optimal Reroute)
29,19608,0.426,1.540,0.0050,0.012,0.1956,0.8044,24289.920,"Indeterminate",STABLE,1.540,0.0050,42.0,0.1956,24289.920,Original (Safe)
30,19608,0.291,1.540,0.0050,0.012,0.0010,0.9990,30166.124,"Indeterminate",STABLE,1.540,0.0050,42.0,0.0010,30166.124,Original (Safe)
31,19608,0.538,1.540,0.0050,0.012,0.2728,0.7272,21958.764,"Indeterminate",STABLE,1.540,0.0050,42.0,0.2728,21958.764,Original (Safe)
32,19608,0.607,1.540,0.0050,0.012,0.0010,0.9990,30166.124,"Indeterminate",STABLE,1.540,0.0050,42.0,0.0010,30166.124,Original (Safe)
33,19608,0.343,1.540,0.0050,0.012,0.2071,0.7929,23942.662,"Indeterminate",STABLE,1.540,0.0050,42.0,0.2071,23942.662,Original (Safe)
34,19608,0.777,1.540,0.0050,0.012,0.0010,0.9990,30166.124,"Indeterminate",STABLE,1.540,0.0050,42.0,0.0010,30166.124,Original (Safe)
35,19608,0.406,1.540,0.0050,0.012,0.0010,0.9990,30166.124,"Indeterminate",STABLE,1.540,0.0050,42.0,0.0010,30166.124,Original (Safe)
36,19608,0.718,1.540,0.0050,0.012,0.0010,0.9990,30166.124,"Indeterminate",STABLE,1.540,0.0050,42.0,0.0010,30166.124,Original (Safe)
37,19608,0.392,1.540,0.0050,0.012,0.0449,0.9551,28840.505,"Indeterminate",STABLE,1.540,0.0050,42.0,0.0449,28840.505,Original (Safe)
38,19608,0.536,1.540,0.0050,0.012,0.4464,0.5536,0.000,"Indeterminate",INDETERMINATE,1.700,0.6667,63.3,0.2568,24771.057,Stable (Optimal Reroute)
39,19608,0.614,1.540,0.0050,0.012,0.0010,0.9990,30166.124,"Indeterminate",STABLE,1.540,0.0050,42.0,0.0010,30166.124,Original (Safe)
40,19608,0.626,1.540,0.0050,0.012,0.1722,0.8278,24996.514,"Indeterminate",STABLE,1.540,0.0050,42.0,0.1722,24996.514,Original (Safe)
41,19608,0.332,1.540,0.0050,0.012,0.2446,0.7554,22810.300,"Indeterminate",STABLE,1.540,0.0050,42.0,0.2446,22810.300,Original (Safe)
42,19608,0.275,1.540,0.0050,0.012,0.0010,0.9990,30166.124,"Indeterminate",STABLE,1.540,0.0050,42.0,0.0010,30166.124,Original (Safe)
43,19608,0.742,1.540,0.0050,0.012,0.0010,0.9990,30166.124,"Indeterminate",STABLE,1.540,0.0050,42.0,0.0010,30166.124,Original (Safe)
44,19608,0.361,1.540,0.0050,0.012,0.0010,0.9990,30166.124,"Indeterminate",STABLE,1.540,0.0050,42.0,0.0010,30166.124,Original (Safe)
45,19608,0.522,1.540,0.0050,0.012,0.3634,0.6366,0.000,"Indeterminate",INDETERMINATE,1.700,0.6667,64.6,0.2983,23396.166,Stable (Optimal Reroute)
46,19608,0.520,1.540,0.0050,0.012,0.3668,0.6332,0.000,"Indeterminate",INDETERMINATE,1.701,0.6667,64.5,0.2966,23454.185,Stable (Optimal Reroute)
47,19608,0.480,1.540,0.0050,0.012,0.2318,0.7682,23196.813,"Indeterminate",STABLE,1.540,0.0050,42.0,0.2318,23196.813,Original (Safe)
48,19608,0.467,1.540,0.0050,0.012,0.3459,0.6541,0.000,"Indeterminate",INDETERMINATE,1.703,0.6667,64.8,0.3070,23137.418,Stable (Optimal Reroute)
49,19608,0.613,1.540,0.0050,0.012,0.0010,0.9990,30166.124,"Indeterminate",STABLE,1.540,0.0050,42.0,0.0010,30166.124,Original (Safe)
50,19608,0.922,1.540,0.0050,0.012,0.0010,0.9990,30166.124,"QAI Strong Pair",STABLE,1.540,0.0050,42.0,0.0010,30166.124,Original (Safe)
51,19608,0.609,1.540,0.0050,0.012,0.0010,0.9990,30166.124,"Indeterminate",STABLE,1.540,0.0050,42.0,0.0010,30166.124,Original (Safe)
52,19608,0.432,1.540,0.0050,0.012,0.0010,0.9990,30166.124,"Indeterminate",STABLE,1.540,0.0050,42.0,0.0010,30166.124,Original (Safe)
53,19608,0.253,1.540,0.0050,0.012,0.5088,0.4912,0.000,"Indeterminate",INDETERMINATE,1.712,0.6667,62.4,0.2256,25999.795,Stable (Optimal Reroute)
54,19608,0.672,1.540,0.0050,0.012,0.0010,0.9990,30166.124,"Indeterminate",STABLE,1.540,0.0050,42.0,0.0010,30166.124,Original (Safe)
55,19608,0.780,1.540,0.0050,0.012,0.0010,0.9990,30166.124,"Indeterminate",STABLE,1.540,0.0050,42.0,0.0010,30166.124,Original (Safe)
56,19608,0.544,1.540,0.0050,0.012,0.1893,0.8107,24480.157,"Indeterminate",STABLE,1.540,0.0050,42.0,0.1893,24480.157,Original (Safe)
57,19608,0.518,1.540,0.0050,0.012,0.3824,0.6176,0.000,"Indeterminate",INDETERMINATE,1.701,0.6667,64.3,0.2888,23715.806,Stable (Optimal Reroute)
58,19608,0.477,1.540,0.0050,0.012,0.0010,0.9990,30166.124,"Indeterminate",STABLE,1.540,0.0050,42.0,0.0010,30166.124,Original (Safe)
59,19608,0.634,1.540,0.0050,0.012,0.0010,0.9990,30166.124,"Indeterminate",STABLE,1.540,0.0050,42.0,0.0010,30166.124,Original (Safe)
60,19608,0.491,1.540,0.0050,0.012,0.0010,0.9990,30166.124,"Indeterminate",STABLE,1.540,0.0050,42.0,0.0010,30166.124,Original (Safe)
61,19608,0.577,1.540,0.0050,0.012,0.0010,0.9990,30166.124,"Indeterminate",STABLE,1.540,0.0050,42.0,0.0010,30166.124,Original (Safe)
62,19608,0.682,1.540,0.0050,0.012,0.0010,0.9990,30166.124,"Indeterminate",STABLE,1.540,0.0050,42.0,0.0010,30166.124,Original (Safe)
63,19608,0.514,1.540,0.0050,0.012,0.0791,0.9209,27807.791,"Indeterminate",STABLE,1.540,0.0050,42.0,0.0791,27807.791,Original (Safe)
64,19608,0.279,1.540,0.0050,0.012,0.4204,0.5796,0.000,"Indeterminate",INDETERMINATE,1.711,0.6667,63.7,0.2698,24499.885,Stable (Optimal Reroute)
65,19608,0.502,1.540,0.0050,0.012,0.0010,0.9990,30166.124,"Indeterminate",STABLE,1.540,0.0050,42.0,0.0010,30166.124,Original (Safe)
66,19608,0.721,1.540,0.0050,0.012,0.0010,0.9990,30166.124,"Indeterminate",STABLE,1.540,0.0050,42.0,0.0010,30166.124,Original (Safe)
67,19608,0.465,1.540,0.0050,0.012,0.0010,0.9990,30166.124,"Indeterminate",STABLE,1.540,0.0050,42.0,0.0010,30166.124,Original (Safe)
68,19608,0.418,1.540,0.0050,0.012,0.0010,0.9990,30166.124,"Indeterminate",STABLE,1.540,0.0050,42.0,0.0010,30166.124,Original (Safe)
69,19608,0.634,1.540,0.0050,0.012,0.0010,0.9990,30166.124,"Indeterminate",STABLE,1.540,0.0050,42.0,0.0010,30166.124,Original (Safe)
70,19608,0.322,1.540,0.0050,0.012,0.4888,0.5112,0.000,"Indeterminate",INDETERMINATE,1.709,0.6667,62.7,0.2356,25619.045,Stable (Optimal Reroute)
71,19608,0.339,1.540,0.0050,0.012,0.2174,0.7826,23631.640,"Indeterminate",STABLE,1.540,0.0050,42.0,0.2174,23631.640,Original (Safe)
72,19608,0.344,1.540,0.0050,0.012,0.0010,0.9990,30166.124,"Indeterminate",STABLE,1.540,0.0050,42.0,0.0010,30166.124,Original (Safe)
73,19608,0.382,1.540,0.0050,0.012,0.0010,0.9990,30166.124,"Indeterminate",STABLE,1.540,0.0050,42.0,0.0010,30166.124,Original (Safe)
74,19608,0.057,1.540,0.0050,0.012,0.8668,0.1332,4022.150,"Verified Safe Pair",STABLE,1.721,0.6667,55.4,0.0466,32170.134,Stable (Optimal Reroute)
75,19608,0.317,1.540,0.0050,0.012,0.0010,0.9990,30166.124,"Indeterminate",STABLE,1.540,0.0050,42.0,0.0010,30166.124,Original (Safe)
76,19608,0.415,1.540,0.0050,0.012,0.0010,0.9990,30166.124,"Indeterminate",STABLE,1.540,0.0050,42.0,0.0010,30166.124,Original (Safe)
77,19608,0.596,1.540,0.0050,0.012,0.0010,0.9990,30166.124,"Indeterminate",STABLE,1.540,0.0050,42.0,0.0010,30166.124,Original (Safe)
78,19608,0.830,1.540,0.0050,0.012,0.0010,0.9990,30166.124,"QAI Strong Pair",STABLE,1.540,0.0050,42.0,0.0010,30166.124,Original (Safe)
79,19608,0.377,1.540,0.0050,0.012,0.4941,0.5059,0.000,"Indeterminate",INDETERMINATE,1.707,0.6667,62.6,0.2329,25671.342,Stable (Optimal Reroute)
80,19608,0.311,1.540,0.0050,0.012,0.0010,0.9990,30166.124,"Indeterminate",STABLE,1.540,0.0050,42.0,0.0010,30166.124,Original (Safe)
81,19608,0.684,1.540,0.0050,0.012,0.0010,0.9990,30166.124,"Indeterminate",STABLE,1.540,0.0050,42.0,0.0010,30166.124,Original (Safe)
82,19608,0.857,1.540,0.0050,0.012,0.0010,0.9990,30166.124,"QAI Strong Pair",STABLE,1.540,0.0050,42.0,0.0010,30166.124,Original (Safe)
83,19608,0.648,1.540,0.0050,0.012,0.0010,0.9990,30166.124,"Indeterminate",STABLE,1.540,0.0050,42.0,0.0010,30166.124,Original (Safe)
84,19608,0.520,1.540,0.0050,0.012,0.0010,0.9990,30166.124,"Indeterminate",STABLE,1.540,0.0050,42.0,0.0010,30166.124,Original (Safe)
85,19608,0.517,1.540,0.0050,0.012,0.1508,0.8492,25642.715,"Indeterminate",STABLE,1.540,0.0050,42.0,0.1508,25642.715,Original (Safe)
86,19608,0.713,1.540,0.0050,0.012,0.0010,0.9990,30166.124,"Indeterminate",STABLE,1.540,0.0050,42.0,0.0010,30166.124,Original (Safe)
87,19608,0.679,1.540,0.0050,0.012,0.0010,0.9990,30166.124,"Indeterminate",STABLE,1.540,0.0050,42.0,0.0010,30166.124,Original (Safe)
88,19608,0.485,1.540,0.0050,0.012,0.2210,0.7790,23522.933,"Indeterminate",STABLE,1.540,0.0050,42.0,0.2210,23522.933,Original (Safe)
89,19608,0.544,1.540,0.0050,0.012,0.2460,0.7540,22768.025,"Indeterminate",STABLE,1.540,0.0050,42.0,0.2460,22768.025,Original (Safe)
90,19608,0.491,1.540,0.0050,0.012,0.0010,0.9990,30166.124,"Indeterminate",STABLE,1.540,0.0050,42.0,0.0010,30166.124,Original (Safe)
91,19608,0.694,1.540,0.0050,0.012,0.0010,0.9990,30166.124,"Indeterminate",STABLE,1.540,0.0050,42.0,0.0010,30166.124,Original (Safe)
92,19608,0.522,1.540,0.0050,0.012,0.0010,0.9990,30166.124,"Indeterminate",STABLE,1.540,0.0050,42.0,0.0010,30166.124,Original (Safe)
93,19608,0.366,1.540,0.0050,0.012,0.2899,0.7101,21442.407,"Indeterminate",STABLE,1.540,0.0050,42.0,0.2899,21442.407,Original (Safe)
94,19608,0.619,1.540,0.0050,0.012,0.0010,0.9990,30166.124,"Indeterminate",STABLE,1.540,0.0050,42.0,0.0010,30166.124,Original (Safe)
95,19608,0.320,1.540,0.0050,0.012,0.0917,0.9083,27427.317,"Indeterminate",STABLE,1.540,0.0050,42.0,0.0917,27427.317,Original (Safe)
96,19608,0.369,1.540,0.0050,0.012,0.1268,0.8732,26367.427,"Indeterminate",STABLE,1.540,0.0050,42.0,0.1268,26367.427,Original (Safe)
97,19608,0.640,1.540,0.0050,0.012,0.0010,0.9990,30166.124,"Indeterminate",STABLE,1.540,0.0050,42.0,0.0010,30166.124,Original (Safe)
98,19608,0.328,1.540,0.0050,0.012,0.2501,0.7499,22644.220,"Indeterminate",STABLE,1.540,0.0050,42.0,0.2501,22644.220,Original (Safe)
99,19608,0.821,1.540,0.0050,0.012,0.0010,0.9990,30166.124,"QAI Strong Pair",STABLE,1.540,0.0050,42.0,0.0010,30166.124,Original (Safe)
100,19608,0.483,1.540,0.0050,0.012,0.0010,0.9990,30166.124,"Indeterminate",STABLE,1.540,0.0050,42.0,0.0010,30166.124,Original (Safe)
101,19608,0.081,1.540,0.0050,0.012,0.7518,0.2482,7494.727,"Verified Safe Pair",STABLE,1.720,0.6667,58.1,0.1041,30211.329,Stable (Optimal Reroute)
102,19608,0.547,1.540,0.0050,0.012,0.0784,0.9216,27828.929,"Indeterminate",STABLE,1.540,0.0050,42.0,0.0784,27828.929,Original (Safe)
103,19608,0.339,1.540,0.0050,0.012,0.0253,0.9747,29432.353,"Indeterminate",STABLE,1.540,0.0050,42.0,0.0253,29432.353,Original (Safe)
104,19608,0.385,1.540,0.0050,0.012,0.3513,0.6487,0.000,"Indeterminate",INDETERMINATE,1.706,0.6667,64.8,0.3043,23276.778,Stable (Optimal Reroute)
105,19608,0.581,1.540,0.0050,0.012,0.0010,0.9990,30166.124,"Indeterminate",STABLE,1.540,0.0050,42.0,0.0010,30166.124,Original (Safe)
106,19608,0.420,1.540,0.0050,0.012,0.3786,0.6214,0.000,"Indeterminate",INDETERMINATE,1.705,0.6667,64.4,0.2907,23712.172,Stable (Optimal Reroute)
107,19608,0.534,1.540,0.0050,0.012,0.1893,0.8107,24480.157,"Indeterminate",STABLE,1.540,0.0050,42.0,0.1893,24480.157,Original (Safe)
108,19608,0.667,1.540,0.0050,0.012,0.0010,0.9990,30166.124,"Indeterminate",STABLE,1.540,0.0050,42.0,0.0010,30166.124,Original (Safe)
109,19608,0.680,1.540,0.0050,0.012,0.0252,0.9748,29435.373,"Indeterminate",STABLE,1.540,0.0050,42.0,0.0252,29435.373,Original (Safe)
110,19608,0.447,1.540,0.0050,0.012,0.0010,0.9990,30166.124,"Indeterminate",STABLE,1.540,0.0050,42.0,0.0010,30166.124,Original (Safe)
111,19608,0.532,1.540,0.0050,0.012,0.0010,0.9990,30166.124,"Indeterminate",STABLE,1.540,0.0050,42.0,0.0010,30166.124,Original (Safe)
112,19608,0.399,1.540,0.0050,0.012,0.0010,0.9990,30166.124,"Indeterminate",STABLE,1.540,0.0050,42.0,0.0010,30166.124,Original (Safe)
113,19608,0.374,1.540,0.0050,0.012,0.1713,0.8287,25023.690,"Indeterminate",STABLE,1.540,0.0050,42.0,0.1713,25023.690,Original (Safe)
114,19608,0.580,1.540,0.0050,0.012,0.2205,0.7795,23538.031,"Indeterminate",STABLE,1.540,0.0050,42.0,0.2205,23538.031,Original (Safe)
115,19608,0.353,1.540,0.0050,0.012,0.0010,0.9990,30166.124,"Indeterminate",STABLE,1.540,0.0050,42.0,0.0010,30166.124,Original (Safe)
116,19608,0.275,1.540,0.0050,0.012,0.0010,0.9990,30166.124,"Indeterminate",STABLE,1.540,0.0050,42.0,0.0010,30166.124,Original (Safe)
117,19608,0.701,1.540,0.0050,0.012,0.0010,0.9990,30166.124,"Indeterminate",STABLE,1.540,0.0050,42.0,0.0010,30166.124,Original (Safe)
118,19608,0.501,1.540,0.0050,0.012,0.0455,0.9545,28822.387,"Indeterminate",STABLE,1.540,0.0050,42.0,0.0455,28822.387,Original (Safe)
119,19608,0.211,1.540,0.0050,0.012,0.6405,0.3595,0.000,"Indeterminate",INDETERMINATE,1.714,0.6667,60.2,0.1597,28240.798,Stable (Optimal Reroute)
120,19608,0.267,1.540,0.0050,0.012,0.4354,0.5646,0.000,"Indeterminate",INDETERMINATE,1.712,0.6667,63.5,0.2623,24759.197,Stable (Optimal Reroute)
121,19608,0.488,1.540,0.0050,0.012,0.3153,0.6847,20675.420,"Indeterminate",STABLE,1.540,0.0050,42.0,0.3153,20675.420,Original (Safe)
122,19608,0.391,1.540,0.0050,0.012,0.0010,0.9990,30166.124,"Indeterminate",STABLE,1.540,0.0050,42.0,0.0010,30166.124,Original (Safe)
123,19608,0.557,1.540,0.0050,0.012,0.8372,0.1628,0.000,"Indeterminate",INDETERMINATE,1.699,0.6667,56.2,0.0614,31266.816,Stable (Optimal Reroute)
124,19608,0.630,1.540,0.0050,0.012,0.0010,0.9990,30166.124,"Indeterminate",STABLE,1.540,0.0050,42.0,0.0010,30166.124,Original (Safe)
125,19608,0.896,1.540,0.0050,0.012,0.0010,0.9990,30166.124,"QAI Strong Pair",STABLE,1.540,0.0050,42.0,0.0010,30166.124,Original (Safe)
126,19608,0.463,1.540,0.0050,0.012,0.0493,0.9507,28707.641,"Indeterminate",STABLE,1.540,0.0050,42.0,0.0493,28707.641,Original (Safe)
127,19608,0.572,1.540,0.0050,0.012,0.4482,0.5518,0.000,"Indeterminate",INDETERMINATE,1.698,0.6667,63.3,0.2559,24778.127,Stable (Optimal Reroute)
128,19608,0.763,1.540,0.0050,0.012,0.0010,0.9990,30166.124,"Indeterminate",STABLE,1.540,0.0050,42.0,0.0010,30166.124,Original (Safe)
129,19608,0.334,1.540,0.0050,0.012,0.5374,0.4626,0.000,"Indeterminate",INDETERMINATE,1.709,0.6667,61.9,0.2113,26425.186,Stable (Optimal Reroute)
130,19608,0.910,1.540,0.0050,0.012,0.0010,0.9990,30166.124,"QAI Strong Pair",STABLE,1.540,0.0050,42.0,0.0010,30166.124,Original (Safe)
131,19608,0.328,1.540,0.0050,0.012,0.3718,0.6282,0.000,"Indeterminate",INDETERMINATE,1.709,0.6667,64.5,0.2941,23654.456,Stable (Optimal Reroute)
132,19608,0.687,1.540,0.0050,0.012,0.1514,0.8486,25624.597,"Indeterminate",STABLE,1.540,0.0050,42.0,0.1514,25624.597,Original (Safe)
133,19608,0.605,1.540,0.0050,0.012,0.0010,0.9990,30166.124,"Indeterminate",STABLE,1.540,0.0050,42.0,0.0010,30166.124,Original (Safe)
134,19608,0.389,1.540,0.0050,0.012,0.0010,0.9990,30166.124,"Indeterminate",STABLE,1.540,0.0050,42.0,0.0010,30166.124,Original (Safe)
135,19608,0.465,1.540,0.0050,0.012,0.0010,0.9990,30166.124,"Indeterminate",STABLE,1.540,0.0050,42.0,0.0010,30166.124,Original (Safe)
136,19608,0.589,1.540,0.0050,0.012,0.1041,0.8959,27052.883,"Indeterminate",STABLE,1.540,0.0050,42.0,0.1041,27052.883,Original (Safe)
137,19608,0.263,1.540,0.0050,0.012,0.0909,0.9091,27451.475,"Indeterminate",STABLE,1.540,0.0050,42.0,0.0909,27451.475,Original (Safe)
138,19608,0.494,1.540,0.0050,0.012,0.0010,0.9990,30166.124,"Indeterminate",STABLE,1.540,0.0050,42.0,0.0010,30166.124,Original (Safe)
139,19608,0.360,1.540,0.0050,0.012,0.0278,0.9722,29356.862,"Indeterminate",STABLE,1.540,0.0050,42.0,0.0278,29356.862,Original (Safe)
140,19608,0.154,1.540,0.0050,0.012,0.3673,0.6327,0.000,"Indeterminate",INDETERMINATE,1.717,0.6667,64.5,0.2963,23684.177,Stable (Optimal Reroute)
141,19608,0.754,1.540,0.0050,0.012,0.0010,0.9990,30166.124,"Indeterminate",STABLE,1.540,0.0050,42.0,0.0010,30166.124,Original (Safe)
142,19608,0.692,1.540,0.0050,0.012,0.2276,0.7724,23323.638,"Indeterminate",STABLE,1.540,0.0050,42.0,0.2276,23323.638,Original (Safe)
143,19608,0.280,1.540,0.0050,0.012,0.1253,0.8747,26412.721,"Indeterminate",STABLE,1.540,0.0050,42.0,0.1253,26412.721,Original (Safe)
144,19608,0.331,1.540,0.0050,0.012,0.1634,0.8366,25262.241,"Indeterminate",STABLE,1.540,0.0050,42.0,0.1634,25262.241,Original (Safe)
145,19608,0.511,1.540,0.0050,0.012,0.0010,0.9990,30166.124,"Indeterminate",STABLE,1.540,0.0050,42.0,0.0010,30166.124,Original (Safe)
146,19608,0.819,1.540,0.0050,0.012,0.0010,0.9990,30166.124,"QAI Strong Pair",STABLE,1.540,0.0050,42.0,0.0010,30166.124,Original (Safe)
147,19608,0.471,1.540,0.0050,0.012,0.0010,0.9990,30166.124,"Indeterminate",STABLE,1.540,0.0050,42.0,0.0010,30166.124,Original (Safe)
148,19608,0.291,1.540,0.0050,0.012,0.7085,0.2915,8802.227,"Verified Safe Pair",STABLE,1.711,0.6667,59.0,0.1257,29324.151,Stable (Optimal Reroute)
149,19608,0.506,1.540,0.0050,0.012,0.2402,0.7598,22943.164,"Indeterminate",STABLE,1.540,0.0050,42.0,0.2402,22943.164,Original (Safe)
150,19608,0.174,1.540,0.0050,0.012,0.6755,0.3245,9798.706,"Verified Safe Pair",STABLE,1.716,0.6667,59.6,0.1422,28856.849,Stable (Optimal Reroute)
151,19608,0.680,1.540,0.0050,0.012,0.0010,0.9990,30166.124,"Indeterminate",STABLE,1.540,0.0050,42.0,0.0010,30166.124,Original (Safe)
152,19608,0.127,1.540,0.0050,0.012,0.6952,0.3048,9203.838,"Verified Safe Pair",STABLE,1.718,0.6667,59.2,0.1324,29222.858,Stable (Optimal Reroute)
153,19608,0.690,1.540,0.0050,0.012,0.0010,0.9990,30166.124,"Indeterminate",STABLE,1.540,0.0050,42.0,0.0010,30166.124,Original (Safe)
154,19608,0.795,1.540,0.0050,0.012,0.0010,0.9990,30166.124,"Indeterminate",STABLE,1.540,0.0050,42.0,0.0010,30166.124,Original (Safe)
155,19608,0.641,1.540,0.0050,0.012,0.0010,0.9990,30166.124,"Indeterminate",STABLE,1.540,0.0050,42.0,0.0010,30166.124,Original (Safe)
156,19608,0.374,1.540,0.0050,0.012,0.0010,0.9990,30166.124,"Indeterminate",STABLE,1.540,0.0050,42.0,0.0010,30166.124,Original (Safe)
157,19608,0.291,1.540,0.0050,0.012,0.0010,0.9990,30166.124,"Indeterminate",STABLE,1.540,0.0050,42.0,0.0010,30166.124,Original (Safe)
158,19608,0.231,1.540,0.0050,0.012,0.4296,0.5704,0.000,"Indeterminate",INDETERMINATE,1.713,0.6667,63.6,0.2652,24684.076,Stable (Optimal Reroute)
159,19608,0.788,1.540,0.0050,0.012,0.0010,0.9990,30166.124,"Indeterminate",STABLE,1.540,0.0050,42.0,0.0010,30166.124,Original (Safe)
160,19608,0.230,1.540,0.0050,0.012,0.5414,0.4586,0.000,"Indeterminate",INDETERMINATE,1.713,0.6667,61.9,0.2093,26563.210,Stable (Optimal Reroute)
161,19608,0.794,1.540,0.0050,0.012,0.0010,0.9990,30166.124,"Indeterminate",STABLE,1.540,0.0050,42.0,0.0010,30166.124,Original (Safe)
162,19608,0.437,1.540,0.0050,0.012,0.0010,0.9990,30166.124,"Indeterminate",STABLE,1.540,0.0050,42.0,0.0010,30166.124,Original (Safe)
163,19608,0.531,1.540,0.0050,0.012,0.0010,0.9990,30166.124,"Indeterminate",STABLE,1.540,0.0050,42.0,0.0010,30166.124,Original (Safe)
164,19608,0.807,1.540,0.0050,0.012,0.1461,0.8539,25784.638,"QAI Strong Pair",STABLE,1.540,0.0050,42.0,0.1461,25784.638,Original (Safe)
165,19608,0.374,1.540,0.0050,0.012,0.2603,0.7397,22336.218,"Indeterminate",STABLE,1.540,0.0050,42.0,0.2603,22336.218,Original (Safe)
